candidateName,candidateParty,candidateVotes,seat,seatName
Abul Khair Muhammad Zubair,Jamiat Ulama-e-Pakistan  (Noorani),20509,NA-227,Hyderabad-III
Salahuddin son of Shaikh Rahimuddin,Muttahida Qaumi Movement Pakistan,52053,NA-227,Hyderabad-III
Ata ul Mustafa Jamil Rathore,Independent,267,NA-227,Hyderabad-III
Abdul Jabbar Memon,Pakistan Tehreek-e-Insaf,15443,NA-228,Tando Muhammad Khan
Ghulam Murtaza,Pakistan Peoples Party (Shaheed Bhutto),1112,NA-228,Tando Muhammad Khan
Kashaf ul Hussain Shah,Independent,391,NA-228,Tando Muhammad Khan
Lal Bux,Independent,491,NA-228,Tando Muhammad Khan
Mir Ali Nawaz Talpur,Grand Democratic Alliance,45159,NA-228,Tando Muhammad Khan
Sumayya Abdul Qadir Nizamani,Muttahida Majlis-e-Amal Pakistan,1117,NA-228,Tando Muhammad Khan
Syed Miran Muhammad Shah,Independent,296,NA-228,Tando Muhammad Khan
Syed Naveed Qamar,Pakistan Peoples Party Parliamentarians,76067,NA-228,Tando Muhammad Khan
Muhammad Isa,Muttahida Majlis-e-Amal Pakistan,13492,NA-229,Badin-I
Mir Raheel Talpur,Independent,1076,NA-229,Badin-I
Mir Ghulam Ali Talpur,Pakistan Peoples Party Parliamentarians,96977,NA-229,Badin-I
Muhammad Ibrahim Kamboh,Pakistan Muslim League (N),1258,NA-229,Badin-I
Muhammad Hasam Mirza,Grand Democratic Alliance,81828,NA-229,Badin-I
Ghulam Ali,Independent,126,NA-229,Badin-I
Mir Ghulam Shah,Independent,508,NA-229,Badin-I
Muhammad Hassam Mirza,Independent,1761,NA-230,Badin-II
Sajjad Ali,Independent,849,NA-230,Badin-II
Fehmida Mirza,Grand Democratic Alliance,96875,NA-230,Badin-II
Haji Rasool Bux Chandio,Pakistan Peoples Party Parliamentarians,96015,NA-230,Badin-II
Mirza Ali Mehdi Baig,Independent,1369,NA-230,Badin-II
Mirza Saqlain Abbas Baig,Independent,1609,NA-230,Badin-II
Fateh Muhammad,Muttahida Majlis-e-Amal Pakistan,7578,NA-230,Badin-II
Abdul Rehman Mallah,Independent,3447,NA-231,Sujawal
Aftab Ali Khan,Independent,2871,NA-231,Sujawal
Ayesha Gulalai Wazir,Pakistan Tehreek-e-Insaf-Gulalai,827,NA-231,Sujawal
Molvi Muhammad Saleh Alhadad,Muttahida Majlis-e-Amal Pakistan,11177,NA-231,Sujawal
Mumtaz Ali Shah,Independent,2150,NA-231,Sujawal
Shafqat Hussain Shah Sheerazi,Independent,1415,NA-231,Sujawal
Syed Ayaz Ali Shah Serazi,Pakistan Peoples Party Parliamentarians,129980,NA-231,Sujawal
Syed Naseer Ahmed Shah Sheerazi,Independent,957,NA-231,Sujawal
Syed Pir Ghulam Rehmani Shah,Independent,1834,NA-232,Thatta
Shams un Nisa,Pakistan Peoples Party Parliamentarians,152691,NA-232,Thatta
Habib ur Rehman,Independent,3190,NA-232,Thatta
Arslan Bux Brohi,Pakistan Tehreek-e-Insaf,18900,NA-232,Thatta
Ghulam Abbas Attai,Pakistan Muslim League (N),2722,NA-232,Thatta
Rabia,Independent,2853,NA-232,Thatta
Mumtaz Ali Memon,Independent,294,NA-232,Thatta
ABDUL NABI SHAH,Independent,715,NA-233,Jamshoro
ABDUL REHMAN MEMON,Independent,2555,NA-233,Jamshoro
Ghulam Abbas Pirzada,Independent,633,NA-233,Jamshoro
KESOO MAL KHEEAL DAS,Pakistan Muslim League (N),3627,NA-233,Jamshoro
ROSHAN ALI BURIRO,Independent,184,NA-233,Jamshoro
SAEED AHMED JAT,Pakistan Justice & Democratic Party,402,NA-233,Jamshoro
SAYED JALAL MEHMOOD,Sindh United Party,81289,NA-233,Jamshoro
SHAHMEER GOPANG,Muttahida Majlis-e-Amal Pakistan,2320,NA-233,Jamshoro
SHUJA AHMED,Independent,4189,NA-233,Jamshoro
SIKANDAR ALI RAHOUPOTO,Pakistan Peoples Party Parliamentarians,133492,NA-233,Jamshoro
Mussarat,Independent,196,NA-234,Dadu-I
Sayed Hyder Bux Shah,Independent,597,NA-234,Dadu-I
Irfan Ali Leghari,Pakistan Peoples Party Parliamentarians,96038,NA-234,Dadu-I
Karim Ali Jatoi,Independent,1434,NA-234,Dadu-I
Liaquat Ali Jatoi,Pakistan Tehreek-e-Insaf,82730,NA-234,Dadu-I
Hameeda khatoon,Muttahida Majlis-e-Amal Pakistan,768,NA-234,Dadu-I
Ahmed Khan Lund,Pakistan Muslim League (N),519,NA-235,Dadu-II
Ahsan Ali Jatoi,Independent,1339,NA-235,Dadu-II
Fatima,Muttahida Majlis-e-Amal Pakistan,1933,NA-235,Dadu-II
Junaid Ahmed Khan,Independent,338,NA-235,Dadu-II
Karim Ali Jatoi,Pakistan Tehreek-e-Insaf,63008,NA-235,Dadu-II
Meer Jan Muhammad Khan Panhwar,Independent,19896,NA-235,Dadu-II
Rafique Ahmed Jamali,Pakistan Peoples Party Parliamentarians,81200,NA-235,Dadu-II
Saeed Ahmed Jamali,Independent,76,NA-235,Dadu-II
Zubair Ahmed Jamali,Independent,84,NA-235,Dadu-II
MUHAMMAD NADEEM,Grand Democratic Alliance,2436,NA-236,Malir-I
KHADIM HUSSAIN SHAIKH,Independent,183,NA-236,Malir-I
ASHFAQ AHMED,Pak Sarzameen Party,229,NA-236,Malir-I
SYED SALEEM SHAH,Awami National Party,216,NA-236,Malir-I
MASROOR ALI,Pakistan Tehreek-e-Insaf,26456,NA-236,Malir-I
SHAHID HUSSAIN,Independent,106,NA-236,Malir-I
SOOMAR,Muttahida Majlis-e-Amal Pakistan,4061,NA-236,Malir-I
MUSHTAQ AHMED ISHTIAQ DHOOL,Jannat Pakistan Party,44,NA-236,Malir-I
DEWAN CHAND CHAWLA,Muttahida Qaumi Movement Pakistan,363,NA-236,Malir-I
MUHAMMAD ISLAM,Independent,156,NA-236,Malir-I
PIR JAN MUHAMMAD,Independent,231,NA-236,Malir-I
QADIR BUX,Pakistan Muslim League (N),9839,NA-236,Malir-I
JAM ABDUL KARIM BIJAR,Pakistan Peoples Party Parliamentarians,66623,NA-236,Malir-I
AFSHAN,Tehreek-e-Labbaik Pakistan,4516,NA-236,Malir-I
Salman Ahmed,Muttahida Qaumi Movement Pakistan,306,NA-237,Malir-II
Afaq Jamal,Pak Sarzameen Party,1461,NA-237,Malir-II
Rehman Dino Mahesar,Independent,861,NA-237,Malir-II
MUHAMMAD ISLAM,Muttahida Majlis-e-Amal Pakistan,5168,NA-237,Malir-II
Muhammad Shoaib,Pakistan Rah-e-Haq Party,1352,NA-237,Malir-II
Zain ul Abdin Ansari,Pakistan Muslim League (N),14099,NA-237,Malir-II
Dr  Nadeem Maqbool,Muttahida Qaumi Movement Pakistan,11251,NA-237,Malir-II
Faheem Ahmed,Tehreek-e-Labbaik Pakistan,11665,NA-237,Malir-II
Muhammad Mureed,Independent,43,NA-237,Malir-II
Abdul Ghafoor,Independent,32,NA-237,Malir-II
Baber Hakeem Baloch,Independent,42,NA-237,Malir-II
Jamil Ahmed Khan,Pakistan Tehreek-e-Insaf,33280,NA-237,Malir-II
Aziz Muhammad,Awami National Party,396,NA-237,Malir-II
Manzoor Ali,Grand Democratic Alliance,502,NA-237,Malir-II
Abdul Hakeem Baloch,Pakistan Peoples Party Parliamentarians,31907,NA-237,Malir-II
Syed Zahid Abbas Naqvi,Pakistan Peoples Party (Shaheed Bhutto),134,NA-237,Malir-II
Aitbar Khan,Independent,64,NA-238,Malir-III
Ghulam Farooq,Independent,207,NA-238,Malir-III
Gul Faraz Khan,Muttahida Qaumi Movement Pakistan,6793,NA-238,Malir-III
Hafiz Aurangzaib,Pakistan Rah-e-Haq Party,19463,NA-238,Malir-III
Ikramullah,Pakistan Muslim Alliance,223,NA-238,Malir-III
Inayatullah,Independent,76,NA-238,Malir-III
Khursheed Ali,Tehreek-e-Suba Hazara Pakistan,545,NA-238,Malir-III
MUHAMMAD ISLAM,Muttahida Majlis-e-Amal Pakistan,6673,NA-238,Malir-III
Muhammad Pervez,Independent,281,NA-238,Malir-III
Muhammad Rafi,Independent,66,NA-238,Malir-III
Muhammad Wali Shah,Grand Democratic Alliance,162,NA-238,Malir-III
Nawaz Ali Jatt,Pakistan Justice & Democratic Party,451,NA-238,Malir-III
NAZIR AHMED,Independent,241,NA-238,Malir-III
Rao Muhammad Zubair,Pak Sarzameen Party,796,NA-238,Malir-III
Shahi Syed,Awami National Party,3748,NA-238,Malir-III
Syed Imdad Hussain Shah,Independent,432,NA-238,Malir-III
Syed Rafiullah,Pakistan Peoples Party Parliamentarians,29598,NA-238,Malir-III
Syed Shah Muhammad Shah,Pakistan Muslim League (N),14026,NA-238,Malir-III
Zain Ul Abidin,Pasban Pakistan.,68,NA-238,Malir-III
Zunaira Rehman,Pakistan Tehreek-e-Insaf,16495,NA-238,Malir-III
MUHAMMAD TARIQ,Independent,350,NA-239,Korangi Karachi-I
SHAHZAD KHAN,Independent,106,NA-239,Korangi Karachi-I
MUHAMMAD NAIM,Mohajir Qaumi Movement Pakistan,2008,NA-239,Korangi Karachi-I
SYED IMRAN HAIDER ABDI,Pakistan Peoples Party Parliamentarians,11887,NA-239,Korangi Karachi-I
SYED MASROOR ALAM,Jamiat Ulama-e-Pakistan  (Noorani),174,NA-239,Korangi Karachi-I
SOHAIL MANSOOR KHAWAJA,Muttahida Qaumi Movement Pakistan,68811,NA-239,Korangi Karachi-I
MUHAMMAD HALEEM KHAN GHOURI,Muttahida Majlis-e-Amal Pakistan,12290,NA-239,Korangi Karachi-I
MUHAMMAD ABDUL ALEEM QADRI,Independent,282,NA-239,Korangi Karachi-I
SHAUKAT ALI,Independent,281,NA-239,Korangi Karachi-I
SHAHAN UL QURAISH,Amun Taraqqi Party,63,NA-239,Korangi Karachi-I
QAZI SALEEM HAIDER,Independent,334,NA-239,Korangi Karachi-I
SAJID AHMED,Independent,337,NA-239,Korangi Karachi-I
Syed Zaman Ali,Tehreek-e-Labbaik Pakistan,30109,NA-239,Korangi Karachi-I
BILAL HUSSAIN,Independent,125,NA-239,Korangi Karachi-I
RASHEED SIDDIQUI,All Pakistan Muslim League,508,NA-239,Korangi Karachi-I
SYED NADEEM RAZI,Pak Sarzameen Party,4389,NA-239,Korangi Karachi-I
MUHAMMAD AKRAM,Pakistan Tehreek-e-Insaf,69147,NA-239,Korangi Karachi-I
MUHAMMAD EHSAN,Pakistan Muslim League (N),19616,NA-239,Korangi Karachi-I
IQBAL AHMED,Independent,120,NA-239,Korangi Karachi-I
MEHMOOD QURESHI,Independent,165,NA-240,Korangi Karachi-II
SHAH JAHAN,Independent,346,NA-240,Korangi Karachi-II
MUHAMMAD ASIF,Tehreek-e-Labbaik Pakistan,30535,NA-240,Korangi Karachi-II
MUHAMMAD USMAN,Pakistan Muslim League (Sher-e-Bangal),841,NA-240,Korangi Karachi-II
NOORI MIAN,Pakistan Sunni Tehreek,989,NA-240,Korangi Karachi-II
MUHAMMAD IQBAL QURESHI,Independent,515,NA-240,Korangi Karachi-II
MUHAMMAD GHAZANFAR,Independent,432,NA-240,Korangi Karachi-II
MUHAMMAD ZAHID,Independent,296,NA-240,Korangi Karachi-II
ABDUL JAMEEL KHAN,Muttahida Majlis-e-Amal Pakistan,19321,NA-240,Korangi Karachi-II
FARRUKH MANZOOR,Pakistan Tehreek-e-Insaf,29939,NA-240,Korangi Karachi-II
IQBAL MUHAMMAD ALI KHAN,Muttahida Qaumi Movement Pakistan,61165,NA-240,Korangi Karachi-II
MUHAMMAD IRFAN WAHEED,Independent,150,NA-240,Korangi Karachi-II
AFAQ SHAFQAT,Mohajir Qaumi Movement Pakistan,14376,NA-240,Korangi Karachi-II
ABDUL GHAFOOR,Pakistan Muslim Alliance,1641,NA-240,Korangi Karachi-II
SYED ASIF HASNAIN,Pak Sarzameen Party,6661,NA-240,Korangi Karachi-II
MUHAMMAD FEROZE,Pakistan Peoples Party Parliamentarians,7586,NA-240,Korangi Karachi-II
Abdul Bari Hashmi,Independent,170,NA-241,Korangi Karachi-III
Abdul Hafiz,Independent,4606,NA-241,Korangi Karachi-III
Faheem Khan,Pakistan Tehreek-e-Insaf,26706,NA-241,Korangi Karachi-III
Farrukh Jabbar,All Pakistan Muslim League (jinnah),1119,NA-241,Korangi Karachi-III
Javed Zaman,Awami National Party,742,NA-241,Korangi Karachi-III
Moazzam Ali Qureshi,Pakistan Peoples Party Parliamentarians,9367,NA-241,Korangi Karachi-III
Muhammad Danish Khan,Pak Sarzameen Party,5167,NA-241,Korangi Karachi-III
Muhammad Furqan,Pakistan Rah-e-Haq Party,2284,NA-241,Korangi Karachi-III
Muhammad Moin Aamer Pirzada,Muttahida Qaumi Movement Pakistan,23873,NA-241,Korangi Karachi-III
Muhammad Shahid,Mohajir Qaumi Movement Pakistan,504,NA-241,Korangi Karachi-III
Muhammad Zahid Awan,Pakistan Muslim Alliance,846,NA-241,Korangi Karachi-III
Nusrat Aqeel,Jamiat Ulama-e-Pakistan  (Noorani),178,NA-241,Korangi Karachi-III
Sabir Hussain Khan,Independent,174,NA-241,Korangi Karachi-III
Tahir Iqbal,Tehreek-e-Labbaik Pakistan,19184,NA-241,Korangi Karachi-III
Taib Zar Khan,Pakistan Muslim League (N),16892,NA-241,Korangi Karachi-III
Abdul Ghani,Independent,552,NA-242,Karachi East-I
Asadullah Bhutto,Muttahida Majlis-e-Amal Pakistan,8262,NA-242,Karachi East-I
Bedal Masroor Badvi,Sindh United Party,733,NA-242,Karachi East-I
Hassan Sabir,Pak Sarzameen Party,1569,NA-242,Karachi East-I
Kiran Zehra Kazmi,Amun Taraqqi Party,76,NA-242,Karachi East-I
Kishwar Zehra,Muttahida Qaumi Movement Pakistan,6393,NA-242,Karachi East-I
Manzoor Ahmed,Pakistan Kissan Ittehad(Ch. Anwar),110,NA-242,Karachi East-I
Muhammad Asghar Ali,Pakistan Muslim Alliance,195,NA-242,Karachi East-I
Muhammad Iqbal,Pakistan Peoples Party Parliamentarians,11823,NA-242,Karachi East-I
Muzamil Iqbal Hashmi,Allah-o-Akbar Tehreek,796,NA-242,Karachi East-I
Noor Muhammad,Independent,78,NA-242,Karachi East-I
Noorullah,Pashtoonkhwa Milli Awami Party,33,NA-242,Karachi East-I
NoorUllah so Abdul Kabeer,Awami National Party,33,NA-242,Karachi East-I
Pir Umar Ud Din Zafar,Independent,31,NA-242,Karachi East-I
Saif Ur Rehman,Pakistan Tehreek-e-Insaf,27333,NA-242,Karachi East-I
Sharafat Khan,Pakistan Muslim League (N),7060,NA-242,Karachi East-I
Syed Abdul Bari,Independent,163,NA-242,Karachi East-I
Syed Muhammad Waqas Hashmi,Tehreek-e-Labbaik Pakistan,3167,NA-242,Karachi East-I
Zohaib Umar Laghari,Independent,442,NA-242,Karachi East-I
ABDUL WAHAB,Pakistan Justice & Democratic Party,483,NA-243,Karachi East-II
Anwaar Ahmed Farouqi,Peoples Movement of Pakistan (PMP),37,NA-243,Karachi East-II
Imran Ahmed Khan Niazi,Pakistan Tehreek-e-Insaf,91358,NA-243,Karachi East-II
Khawaja Izhar Ul Hassan,Independent,53,NA-243,Karachi East-II
Muhammad Ayaz,Independent,110,NA-243,Karachi East-II
Muhammad Kamran Khan,Independent,50,NA-243,Karachi East-II
Muhammad Muzammil Qureshi,Pak Sarzameen Party,3641,NA-243,Karachi East-II
Muhammad Usama Razi Khan,Muttahida Majlis-e-Amal Pakistan,16214,NA-243,Karachi East-II
Muzammal Iqbal Hashmi,Allah-o-Akbar Tehreek,1127,NA-243,Karachi East-II
Shahjahan,Pakistan Muslim League (N),7912,NA-243,Karachi East-II
Syed Ali Raza,Muttahida Qaumi Movement Pakistan,24082,NA-243,Karachi East-II
Syed Asif Raza,Independent,716,NA-243,Karachi East-II
Syed Kamran Ali Rizvi,Mohajir Qaumi Movement Pakistan,115,NA-243,Karachi East-II
Syed Nawaz ul Huda,Tehreek-e-Labbaik Pakistan,6489,NA-243,Karachi East-II
Syeda Shehla Raza,Pakistan Peoples Party Parliamentarians,10631,NA-243,Karachi East-II
Muhammad Zubair Khan,Pakistan Awami Raj,48,NA-244,Karachi East-III
Saif Uddin,Independent,47,NA-244,Karachi East-III
Shazia Razzaq Khan,Awami National Party,100,NA-244,Karachi East-III
Syed Ali Haider Zaidi,Pakistan Tehreek-e-Insaf,69475,NA-244,Karachi East-III
Muhammad Abdul Rauf Siddiqui,Muttahida Qaumi Movement Pakistan,19527,NA-244,Karachi East-III
Mudassir Iqbal,Allah-o-Akbar Tehreek,577,NA-244,Karachi East-III
Nomi Bashir,Independent,428,NA-244,Karachi East-III
Tabish Hussain,Grand Democratic Alliance,1009,NA-244,Karachi East-III
S  Akhtar Hussain Shah Bukhari,Mohajir Qaumi Movement Pakistan,152,NA-244,Karachi East-III
Muhammad Imran Kashif,Independent,64,NA-244,Karachi East-III
Zahid Saeed,Muttahida Majlis-e-Amal Pakistan,17894,NA-244,Karachi East-III
Shokat,Independent,983,NA-244,Karachi East-III
Sabir Hussain,Independent,20,NA-244,Karachi East-III
Nasir Khan,All Pakistan Muslim League,159,NA-244,Karachi East-III
Muhammad Ali Atara,Independent,20,NA-244,Karachi East-III
Amjad Ali Asif,Independent,100,NA-244,Karachi East-III
Muhammad Saeed Shafiq,Pak Sarzameen Party,2067,NA-244,Karachi East-III
Muhammad Tariq,Independent,60,NA-244,Karachi East-III
Mian Vaqar Akhtar Paganwala,Pakistan Peoples Party Parliamentarians,14745,NA-244,Karachi East-III
Miftah Ismail Ahmed,Pakistan Muslim League (N),31247,NA-244,Karachi East-III
Yasha Ullah Khan Afghan,Tehreek-e-Labbaik Pakistan,9273,NA-244,Karachi East-III
Abdul Khursheed Khan,Independent,183,NA-245,Karachi East-IV
Zulfiqar Ali Kaim Khani,Independent,446,NA-245,Karachi East-IV
Arshad Ali,Independent,569,NA-245,Karachi East-IV
Sagheer Ahmed,Pak Sarzameen Party,6136,NA-245,Karachi East-IV
Saleem Sachwani,Independent,996,NA-245,Karachi East-IV
Muhammad Ahmed Raza,Tehreek-e-Labbaik Pakistan,20580,NA-245,Karachi East-IV
Muhammad Shaifiq Ahmed,Mohajir Qaumi Movement Pakistan,2857,NA-245,Karachi East-IV
Saiffuddin,Muttahida Majlis-e-Amal Pakistan,20135,NA-245,Karachi East-IV
Aamir Hussain,Pakistan Tehreek-e-Insaf,56615,NA-245,Karachi East-IV
Khawaja Tariq Nazir,Pakistan Muslim League (N),9653,NA-245,Karachi East-IV
Muhammad Jamil,Independent,524,NA-245,Karachi East-IV
Abdul Anis Khan,Independent,80,NA-245,Karachi East-IV
Muhammad Farooq Sattar,Muttahida Qaumi Movement Pakistan,35247,NA-245,Karachi East-IV
Farrukh Niaz Tanoli,Pakistan Peoples Party Parliamentarians,8812,NA-245,Karachi East-IV
Sameena Huma Meer,Awami National Party,606,NA-245,Karachi East-IV
Abdul Shakoor Shad,Pakistan Tehreek-e-Insaf,52750,NA-246,Karachi South-I
Abid,Independent,110,NA-246,Karachi South-I
Ahmed Bakhsh,Tehreek-e-Labbaik Pakistan,42345,NA-246,Karachi South-I
Amjad Khan,Independent,610,NA-246,Karachi South-I
Bilawal Bhutto Zardari,Pakistan Peoples Party Parliamentarians,39325,NA-246,Karachi South-I
Ejaz Ahmed,Pak Sarzameen Party,3287,NA-246,Karachi South-I
Ghulam Muhammad Samoo,Independent,338,NA-246,Karachi South-I
Hazrat Gul,Awami National Party,772,NA-246,Karachi South-I
Jawad Ahmed,Barabri Party Pakistan,408,NA-246,Karachi South-I
Mahfooz Yar Khan,Muttahida Qaumi Movement Pakistan,9851,NA-246,Karachi South-I
Mollana  Noor ul haq,Muttahida Majlis-e-Amal Pakistan,33078,NA-246,Karachi South-I
Muhammad Anwar,Pakistan Justice & Democratic Party,538,NA-246,Karachi South-I
Muhammad Arshad,Grand Democratic Alliance,253,NA-246,Karachi South-I
Muhammad Irshad,Independent,278,NA-246,Karachi South-I
Saleem Zia,Pakistan Muslim League (N),19077,NA-246,Karachi South-I
Umm e Kalsoom,Independent,89,NA-246,Karachi South-I
JAVED IQBAL KHAN,Mohajir Qaumi Movement Pakistan,83,NA-247,Karachi South-II
MUHAMMAD HUSAIN MEHANTI,Muttahida Majlis-e-Amal Pakistan,22780,NA-247,Karachi South-II
GHAZIA ALI,Grand Democratic Alliance,262,NA-247,Karachi South-II
MATI UR REHMAN,Pakistan Kissan Ittehad(Ch. Anwar),205,NA-247,Karachi South-II
RAJ KUMAR,Independent,53,NA-247,Karachi South-II
AFTAB HUSSAIN LAKHO,Independent,66,NA-247,Karachi South-II
AFNAN ULLAH KHAN,Pakistan Muslim League (N),18130,NA-247,Karachi South-II
NADIR KHAN JAMALI,Independent,84,NA-247,Karachi South-II
ALI NAWAB,Pakistan Sunni Tehreek,189,NA-247,Karachi South-II
ABDUL JALIL KHAN,Independent,352,NA-247,Karachi South-II
NAEEM UDDIN,Independent,139,NA-247,Karachi South-II
ARIF UR REHMAN ALVI,Pakistan Tehreek-e-Insaf,91020,NA-247,Karachi South-II
ABDUL AZIZ MEMON,Pakistan Peoples Party Parliamentarians,19552,NA-247,Karachi South-II
FAUZIA KASURI,Pak Sarzameen Party,5448,NA-247,Karachi South-II
SYED ZAMAN ALI JAFRI,Tehreek-e-Labbaik Pakistan,24680,NA-247,Karachi South-II
ABDUL WAHAB,Pakistan Justice & Democratic Party,450,NA-247,Karachi South-II
ABDUL HABIB,Independent,485,NA-247,Karachi South-II
DEEDAR ALI,Independent,335,NA-247,Karachi South-II
Muhammad Jibran Nasir,Independent,6462,NA-247,Karachi South-II
NASREEN JALIL,Independent,114,NA-247,Karachi South-II
SAYYID MANSOOB HASAN,Independent,1354,NA-247,Karachi South-II
FAUZIA AQEEL LARI,Independent,57,NA-247,Karachi South-II
Muhammad Farooq Sattar,Muttahida Qaumi Movement Pakistan,24146,NA-247,Karachi South-II
Abdul Majeed,Independent,490,NA-248,Karachi West-I
Abdul Qadir Patel,Pakistan Peoples Party Parliamentarians,35124,NA-248,Karachi West-I
Afshan Qamber Ali,Muttahida Qaumi Movement Pakistan,1432,NA-248,Karachi West-I
Asghar Mehmood,Tehreek-e-Labbaik Pakistan,13797,NA-248,Karachi West-I
Bashir Ahmed,Independent,215,NA-248,Karachi West-I
Gull Muhammad Afridi,Muttahida Majlis-e-Amal Pakistan,8967,NA-248,Karachi West-I
Hafiz Aurangzaib,Pakistan Rah-e-Haq Party,3941,NA-248,Karachi West-I
Muhammad Alauddin,Pakistan Muslim League (Sher-e-Bangal),491,NA-248,Karachi West-I
Muhammad Salman Khan,Pakistan Muslim League (N),20732,NA-248,Karachi West-I
Muhammad Yousaf,Pak Sarzameen Party,2168,NA-248,Karachi West-I
Sardar Aziz,Pakistan Tehreek-e-Insaf,34101,NA-248,Karachi West-I
Subhan Ali,Independent,134,NA-248,Karachi West-I
Abdul Qayyum Khan Kundi,Independent,202,NA-249,Karachi West-II
Abdul Sattar,Grand Democratic Alliance,228,NA-249,Karachi West-II
Abid Hussain,Tehreek-e-Labbaik Pakistan,23981,NA-249,Karachi West-II
Ali Akber,Independent,138,NA-249,Karachi West-II
Aslam Shah,Muttahida Qaumi Movement Pakistan,13534,NA-249,Karachi West-II
Fouzia Hameed,Pak Sarzameen Party,1617,NA-249,Karachi West-II
Hafiz Muhammad Mursalen,Independent,122,NA-249,Karachi West-II
Haji Muhammad,Pashtoonkhwa Milli Awami Party,241,NA-249,Karachi West-II
Hazrat Umar,Pakistan Muslim Alliance,464,NA-249,Karachi West-II
Kamran Akhter,Independent,227,NA-249,Karachi West-II
Mian Muhammad Shehbaz Sharif,Pakistan Muslim League (N),34626,NA-249,Karachi West-II
Mohammad Salman Khan Baloch,Independent,234,NA-249,Karachi West-II
Muhammad Faisal Vawda,Pakistan Tehreek-e-Insaf,35344,NA-249,Karachi West-II
Qadir Khan Mandokhail,Pakistan Peoples Party Parliamentarians,7236,NA-249,Karachi West-II
Syed Atta Ullah Shah,Muttahida Majlis-e-Amal Pakistan,10307,NA-249,Karachi West-II
Ali Ahmad,Pakistan Peoples Party Parliamentarians,24690,NA-250,Karachi West-III
Aslam Shah,Independent,116,NA-250,Karachi West-III
Attaullah,Allah-o-Akbar Tehreek,786,NA-250,Karachi West-III
Attaullah,Pakistan Tehreek-e-Insaf,36049,NA-250,Karachi West-III
Fayyaz Kaim Khani,Muttahida Qaumi Movement Pakistan,29086,NA-250,Karachi West-III
Mahmood Khan,Pashtoonkhwa Milli Awami Party,406,NA-250,Karachi West-III
Muhammad Ashraf,Independent,141,NA-250,Karachi West-III
Muhammad Ishaq,Mohajir Qaumi Movement Pakistan,272,NA-250,Karachi West-III
Naeem,Muttahida Majlis-e-Amal Pakistan,22629,NA-250,Karachi West-III
Shahi Syed,Awami National Party,11385,NA-250,Karachi West-III
Syed Hafiz Ud Din,Pak Sarzameen Party,5563,NA-250,Karachi West-III
Syed Kashif Ali,Tehreek-e-Labbaik Pakistan,13496,NA-250,Karachi West-III
SYED SHAH NAWAZ,Independent,2098,NA-250,Karachi West-III
SYED SHAHID IQBAL,Independent,1179,NA-251,Karachi West-IV
ASIF SALEM,Independent,106,NA-251,Karachi West-IV
MOHAMMAD ASLAM,Pakistan Tehreek-e-Insaf,33462,NA-251,Karachi West-IV
SYED AMIN UL HAQUE,Muttahida Qaumi Movement Pakistan,56888,NA-251,Karachi West-IV
MUHAMMAD NEHAL MALIK,Pak Sarzameen Party,5653,NA-251,Karachi West-IV
NAEEM ULLAH,Pakistan Muslim Alliance,1974,NA-251,Karachi West-IV
MOHAMMAD MUMTAZ HUSSAIN ANSARI,Tehreek-e-Labbaik Pakistan,30524,NA-251,Karachi West-IV
MOHAMMAD LAEEQUE KHAN,Muttahida Majlis-e-Amal Pakistan,21812,NA-251,Karachi West-IV
MUHAMMAD JAMIL ZIA,Pakistan Peoples Party Parliamentarians,9616,NA-251,Karachi West-IV
FAHAD SHAFIQ,Pakistan Muslim League (N),8160,NA-251,Karachi West-IV
SOHAIL KHAN,All Pakistan Muslim League,2730,NA-251,Karachi West-IV
ZIARAT KHAN,Independent,277,NA-251,Karachi West-IV
IQRA MUZZAMMAL,Allah-o-Akbar Tehreek,2023,NA-251,Karachi West-IV
Abdul Khaliq Mirza,Pakistan Peoples Party Parliamentarians,9909,NA-252,Karachi West-V
Abdul Latif Rind,Pakistan Muslim League,1662,NA-252,Karachi West-V
Abdul Majeed,Muttahida Majlis-e-Amal Pakistan,10074,NA-252,Karachi West-V
Abdul Qadir Khanzada,Muttahida Qaumi Movement Pakistan,17858,NA-252,Karachi West-V
Aftab Jehangir,Pakistan Tehreek-e-Insaf,21065,NA-252,Karachi West-V
Aftkhar Akbar Randhawa,Pak Sarzameen Party,4786,NA-252,Karachi West-V
Akram Khan,Independent,646,NA-252,Karachi West-V
Farhat Hussain,Independent,235,NA-252,Karachi West-V
Fazal Rabbi,Independent,166,NA-252,Karachi West-V
Muhammad Ayub Khan,Pakistan Muslim League (N),6495,NA-252,Karachi West-V
Muhammad Furqan,Tehreek-e-Labbaik Pakistan,10107,NA-252,Karachi West-V
Muhammad Qamar Siddique,Pasban Pakistan.,135,NA-252,Karachi West-V
Muhammad Sajid Hussain,Independent,287,NA-252,Karachi West-V
Riaz Khan,Independent,73,NA-252,Karachi West-V
Samina Sohail,Independent,994,NA-252,Karachi West-V
Sheikh Abdullah,Independent,50,NA-252,Karachi West-V
Abdul Hakim Quaid,Pasban Pakistan.,135,NA-253,Karachi Central-I
Muhammmad Ashraf Jabbar,Pakistan Tehreek-e-Insaf,39145,NA-253,Karachi Central-I
Munim Zafar Khan,Muttahida Majlis-e-Amal Pakistan,9357,NA-253,Karachi Central-I
Muhammad Ali,Jannat Pakistan Party,59,NA-253,Karachi Central-I
